"_id";"timestamp";"eventName";"transactionId";"userId";"trackingIds";"runAs";"objectId";"operation";"before";"after";"changedFields";"revision";"component";"realm"
"63eb9d2d-1dfb-4b77-8234-e10dd961293c-4459";"2022-11-17T10:35:21.321Z";"AM-CONFIG-CHANGE";"63eb9d2d-1dfb-4b77-8234-e10dd961293c-16";;;"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=http://openam.example.com:8080/openam,ou=com-sun-identity-servers,ou=default,ou=GlobalConfig,ou=1.0,ou=iPlanetAMPlatformService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"UPDATE";;;"[""sunKeyValue""]";;;
"63eb9d2d-1dfb-4b77-8234-e10dd961293c-4461";"2022-11-17T10:35:21.341Z";"AM-CONFIG-CHANGE";"63eb9d2d-1dfb-4b77-8234-e10dd961293c-16";;;"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=http://openam.example.com:8080/openam,ou=com-sun-identity-servers,ou=default,ou=GlobalConfig,ou=1.0,ou=iPlanetAMPlatformService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"UPDATE";;;"[""sunKeyValue""]";;;
"63eb9d2d-1dfb-4b77-8234-e10dd961293c-4463";"2022-11-17T10:35:21.385Z";"AM-CONFIG-CHANGE";"63eb9d2d-1dfb-4b77-8234-e10dd961293c-16";;;"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=iPlanetAMWebAgentService,ou=registeredApplications,ou=default,ou=OrganizationConfig,ou=1.0,ou=sunEntitlementService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"UPDATE";;;"[""sunxmlKeyValue"",""sunKeyValue"",""sunserviceID"",""objectclass""]";;;"/"
"63eb9d2d-1dfb-4b77-8234-e10dd961293c-4465";"2022-11-17T10:35:21.392Z";"AM-CONFIG-CHANGE";"63eb9d2d-1dfb-4b77-8234-e10dd961293c-16";;;"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=sunAMDelegationService,ou=registeredApplications,ou=default,ou=OrganizationConfig,ou=1.0,ou=sunEntitlementService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"UPDATE";;;"[""sunxmlKeyValue"",""sunserviceID"",""sunKeyValue"",""objectclass""]";;;"/"
"5ef5b9ec-e437-473f-b957-1d4288f1c84c-1547";"2022-11-17T10:47:06.620Z";"AM-CONFIG-CHANGE";"5ef5b9ec-e437-473f-b957-1d4288f1c84c-1540";;;"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=apache_agent,ou=default,ou=OrganizationConfig,ou=1.0,ou=AgentService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"5ef5b9ec-e437-473f-b957-1d4288f1c84c-1871";"2022-11-17T10:48:23.635Z";"AM-CONFIG-CHANGE";"5ef5b9ec-e437-473f-b957-1d4288f1c84c-1865";;;"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=1.0,ou=iPlanetAMPlatformService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"UPDATE";;;"[""sunServiceSchema""]";;;"/"
"031fb351-e808-4c15-b8b9-e06c50e177ba-415";"2022-11-22T12:25:31.209Z";"AM-CONFIG-CHANGE";"031fb351-e808-4c15-b8b9-e06c50e177ba-413";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=GlobalConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;
"031fb351-e808-4c15-b8b9-e06c50e177ba-417";"2022-11-22T12:25:31.222Z";"AM-CONFIG-CHANGE";"031fb351-e808-4c15-b8b9-e06c50e177ba-413";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"031fb351-e808-4c15-b8b9-e06c50e177ba-419";"2022-11-22T12:25:31.227Z";"AM-CONFIG-CHANGE";"031fb351-e808-4c15-b8b9-e06c50e177ba-413";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=PluginConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"031fb351-e808-4c15-b8b9-e06c50e177ba-421";"2022-11-22T12:25:31.237Z";"AM-CONFIG-CHANGE";"031fb351-e808-4c15-b8b9-e06c50e177ba-413";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=Instances,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"031fb351-e808-4c15-b8b9-e06c50e177ba-427";"2022-11-22T12:25:31.240Z";"AM-CONFIG-CHANGE";"031fb351-e808-4c15-b8b9-e06c50e177ba-413";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"031fb351-e808-4c15-b8b9-e06c50e177ba-430";"2022-11-22T12:25:31.280Z";"AM-CONFIG-CHANGE";"031fb351-e808-4c15-b8b9-e06c50e177ba-413";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=kkk,ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"031fb351-e808-4c15-b8b9-e06c50e177ba-475";"2022-11-22T12:25:37.613Z";"AM-CONFIG-CHANGE";"031fb351-e808-4c15-b8b9-e06c50e177ba-473";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=kkk,ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"UPDATE";;;"[""sunKeyValue""]";;;"/"
"031fb351-e808-4c15-b8b9-e06c50e177ba-485";"2022-11-22T12:25:39.411Z";"AM-CONFIG-CHANGE";"031fb351-e808-4c15-b8b9-e06c50e177ba-483";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=kkk,ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"UPDATE";;;"[""sunKeyValue""]";;;"/"
"bc87096f-0e56-4e7b-b03c-c24837208285-666";"2022-11-23T07:51:07.152Z";"AM-CONFIG-CHANGE";"bc87096f-0e56-4e7b-b03c-c24837208285-664";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=kkk,ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"UPDATE";;;"[""sunKeyValue""]";;;"/"
"bc87096f-0e56-4e7b-b03c-c24837208285-1006";"2022-11-23T07:51:48.242Z";"AM-CONFIG-CHANGE";"bc87096f-0e56-4e7b-b03c-c24837208285-1002";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=kkk,ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"DELETE";;;;;;"/"
"bc87096f-0e56-4e7b-b03c-c24837208285-1086";"2022-11-23T07:52:02.634Z";"AM-CONFIG-CHANGE";"bc87096f-0e56-4e7b-b03c-c24837208285-1084";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=kkk,ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
"bc87096f-0e56-4e7b-b03c-c24837208285-1146";"2022-11-23T07:52:06.726Z";"AM-CONFIG-CHANGE";"bc87096f-0e56-4e7b-b03c-c24837208285-1143";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=kkk,ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"UPDATE";;;"[""sunKeyValue""]";;;"/"
"bc87096f-0e56-4e7b-b03c-c24837208285-1506";"2022-11-23T07:52:45.402Z";"AM-CONFIG-CHANGE";"bc87096f-0e56-4e7b-b03c-c24837208285-1501";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=kkk,ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"UPDATE";;;"[""sunKeyValue""]";;;"/"
"bc87096f-0e56-4e7b-b03c-c24837208285-7046";"2022-11-23T08:25:22.565Z";"AM-CONFIG-CHANGE";"bc87096f-0e56-4e7b-b03c-c24837208285-7044";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=kkk,ou=default,ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"UPDATE";;;"[""sunKeyValue""]";;;"/"
"f8b76ad3-3f77-4586-9055-0bac58b8f66b-673";"2022-11-23T08:44:47.215Z";"AM-CONFIG-CHANGE";"f8b76ad3-3f77-4586-9055-0bac58b8f66b-671";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=GlobalConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;
"f8b76ad3-3f77-4586-9055-0bac58b8f66b-675";"2022-11-23T08:44:47.231Z";"AM-CONFIG-CHANGE";"f8b76ad3-3f77-4586-9055-0bac58b8f66b-671";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"ou=OrganizationConfig,ou=1.0,ou=iPlanetAMAuthTypingAuthService,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";;;;;;"/"
