time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2022-12-09 08:40:29.052 UTC, , , , , , , , , ,125,3196197,50344, , ,4,2,105,4,0.04,1, , , , , , ,4,4, ,2,2,4,2,5, ,294,142, , , , , , , , , , , , , ,21889933,102, ,21874148, , , , ,21889989,28967841792,8,8,8,8, , , , , ,11,76642, , , , , , , , , , , , , , , , , , , , , , , , , ,21889989,1670575226967,,, , , , , , , , , ,3145728,21889933, , , , , , ,154, , ,2, , ,3, , ,154, ,8414821,23, , , ,1, ,54615961,164, , , , , , , , ,62,1923,415894728,5, , , , , , ,78, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-12-09 08:41:29.076 UTC, , , ,27,3,3, , , ,589,4925709,1772672,6720, ,37,19,1757,33,0.02,3, , , , , ,5,37,21, , ,14,21,25,21, ,684,383, , , , , , , , , , , , , ,21889933,102, ,21874148, , , , ,21908662,28967419904,8,8,8,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21908662,1670575226967,,, , , , , , , , , ,3145728,21908631,11,11,11,11, , ,447, , ,3,7, ,3,1, ,447,1,617542,84,3467,1, ,7, ,1228080,373,15206,6, , , , , , ,7,526,546380152,4, , , , , , ,1935, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8, ,30, ,425,1247,279,18, , , , , , , , , 
2022-12-09 08:42:29.089 UTC, , , ,17,7,2, , , ,589,4953557,1800520,6720, ,41,4,1158,4,0.00,7, , , , , ,6,41,22, , ,3,22,29,20, ,441,19, , , , , , , , , , , , , ,21889933,102, ,21874148, , , , ,21934446,28967235584,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21934446,1670575226967,,, , , , , , , , , ,3145728,21934415,4,4,2,4, , ,27, , , ,12, ,3,3, ,27,1,16837,14,7041,2, ,1, ,28180,14,18743,10, , , , , , ,3,201,311296368,3, , , , , , ,1085, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7, ,42, ,34,894,151,36, , , , , , , , , 
2022-12-09 08:43:29.094 UTC, , , , , , , , , ,589,4953557,1800520,6720, ,41, ,83, , , , , , , , ,6,41,22, , , ,22,29,20, ,28, , , , , , , , , , , , , , ,21889933,102, ,21874148, , , , ,21934446,28967170048,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21934446,1670575226967,,, , , , , , , , , ,3145728,21941024,27,27,27,27, , , , , , ,3, ,3,1, , ,1, , , , , , , , , ,6609,3, , , , , , , , ,495845744,2, , , , , , ,78, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,4, ,10,50,12,3, , , , , , , , , 
2022-12-09 08:44:29.097 UTC, , , , , , , , , ,589,4953557,1800520,6720, ,41, ,33, , , , , , , , ,6,41,22, , , ,22,29,20, ,18, , , , , , , , , , , , , , ,21889933,102, ,21874148, , , , ,21941055,28967243776,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21941055,1670575226967,,, , , , , , , , , ,3145728,21941024, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,1,47,334889336,1, , , , , , ,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,25,4, , , , , , , , , , 
2022-12-09 08:45:29.100 UTC, , , , , , , , , ,589,4953557,1800520,6720, ,41, ,33, , , , , , , , ,6,41,22, , , ,22,29,20, ,18, , , , , , , , , , , , , , ,21889933,102, ,21874148, , , , ,21941055,28967034880,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21941055,1670575226967,,, , , , , , , , , ,3145728,21941024, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,491127160, , , , , , , ,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,25,4, , , , , , , , , , 
2022-12-09 08:46:29.108 UTC, , , , , , , , , ,589,4953557,1800520,6720, ,41, ,87, , , , , , , , ,6,41,22, , , ,22,29,20, ,25, , , , , , , , , , , , , , ,21889933,102, ,21874148, , , , ,21946606,28966965248,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21946606,1670575226967,,, , , , , , , , , ,3145728,21946575,0,0,0,0, , , , , , ,2, ,3,1, , ,1, , , , , , , , , ,5551,2, , , , , , ,1,30,334365040, , , , , , , ,86, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,4, ,10,51,12,4, , , , , , , , , 
2022-12-09 08:47:29.111 UTC, , , , , , , , , ,589,4953557,1800520,6720, ,41, ,33, , , , , , , , ,6,41,22, , , ,22,29,20, ,18, , , , , , , , , , , , , , ,21889933,102, ,21874148, , , , ,21946606,28966903808,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21946606,1670575226967,,, , , , , , , , , ,3145728,21946575, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,490602864,1, , , , , , ,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,25,4, , , , , , , , , , 
2022-12-09 08:48:29.114 UTC, , ,8,50,11,4, , , ,1029,5203589,2050112,6720, ,44,2,2049,3,0.00,11, , , , , ,6,44,22, , ,2,26,32,19, ,993,336, , , , , , , , , , , , , ,21889933,102, ,21874148, , , , ,21946606,28966682624,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21946606,1670575226967,,, , , , , , , , , ,3145728,22052590,4,4,4,4, , ,341, , , ,38, ,3,1, ,341,1,7615,8,1583,1, , , ,242868,333,104432,37, , , , , , ,2,86,505282928,2, , , , , , ,2734, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,72, ,114, ,666,1447,253,129, , , , , , , , , 
2022-12-09 08:48:32.653 UTC, , , , , , , , , ,1029,5196869,2050112, , ,44, , , , , , , , , , ,6,44,22, , , ,26,32,19, , , , , , , , , , , , , , , , ,21889933,102, ,21874148, , , , ,21946606,28966682624,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21946606,1670575226967,,, , , , , , , , , ,3145728,22052590, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,514720112,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
