time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2022-12-16 11:04:40.353 UTC, , , , , , , , , ,1469,4956157,1802240,6720, ,45, ,36, , , , , , , , ,4,45,22, , , ,27,33,20, ,22, , , , , , , , , , , , , , ,30437867,140, ,30411673, , , , ,30619132,27993645056,6,6,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,30619132,1671185378747,,, , , , , , , , , ,3145728,30619101, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,2,14,284885240,1, , , , , , ,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,32,4, , , , , , , , , , 
2022-12-16 11:05:40.358 UTC, , , , , , , , , ,1469,4956157,1802240,6720, ,45, ,90, , , , , , , , ,4,45,22, , , ,27,33,20, ,29, , , , , , , , , , , , , , ,30437867,140, ,30411673, , , , ,30624709,27989753856,6,6,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,30624709,1671185378747,,, , , , , , , , , ,3145728,30624678,2,2,2,2, , , , , , ,2, ,3,1, , ,1, , , , , , , , , ,5577,2, , , , , , ,3,31,215822240,2, , , , , , ,83, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,4, , ,58,12,6, , , , , , , , , 
2022-12-16 11:06:40.362 UTC, , , ,1, ,1, , , ,1469,4956157,1802240,6720, ,45, ,61, , , , , , , , ,4,45,22, , , ,27,33,20, ,27, , , , , , , , , , , , , , ,30437867,140, ,30411673, , , , ,30625785,27989606400,6,6,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,30625785,1671185378747,,, , , , , , , , , ,3145728,30625754,2,2,2,2, , , , , , ,1, ,3,1, , ,1, , , , , , , , , ,1076,1, , , , , , ,2,42,232413896,1, , , , , , ,65, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , ,1,45,4,4, , , , , , , , , 
2022-12-16 11:07:40.363 UTC, , , , , , , , , ,1469,4956157,1802240,6720, ,45, ,32, , , , , , , , ,4,45,22, , , ,27,33,20, ,18, , , , , , , , , , , , , , ,30437867,140, ,30411673, , , , ,30625785,27989504000,6,6,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,30625785,1671185378747,,, , , , , , , , , ,3145728,30625754, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,2,17,248244848,1, , , , , , ,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28,4, , , , , , , , , , 
2022-12-16 11:08:40.369 UTC, , , , , , , , , ,1469,4956157,1802240,6720, ,45, ,32, , , , , , , , ,4,45,22, , , ,27,33,20, ,18, , , , , , , , , , , , , , ,30437867,140, ,30411673, , , , ,30625785,27989401600,6,6,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,30625785,1671185378747,,, , , , , , , , , ,3145728,30625754, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,2,26,262928384,1, , , , , , ,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28,4, , , , , , , , , , 
2022-12-16 11:09:40.373 UTC, , , , , , , , , ,1469,4956157,1802240,6720, ,45, ,32, , , , , , , , ,4,45,22, , , ,27,33,20, ,18, , , , , , , , , , , , , , ,30437867,140, ,30411673, , , , ,30625785,27980537856,6,6,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,30625785,1671185378747,,, , , , , , , , , ,3145728,30625754, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,2,17,280705032,1, , , , , , ,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28,4, , , , , , , , , , 
2022-12-16 11:10:40.375 UTC, , , ,1, ,1, , , ,1469,4953925,1800008,6720, ,45, ,109, , , , , , , , ,4,45,22, , , ,27,33,20, ,29, , , , , , , , , , , , , , ,30437867,140, ,30411673, , , , ,30632435,27980185600,6,6,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,30632435,1671185378747,,, , , , , , , , , ,3145728,30632404,3,3,3,3, , , , , , ,3, ,3,1, , ,1, , , , , , , , , ,6650,3, , , , , , ,2,28,298763480, , , , , , , ,111, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8, ,4, ,1,67,12,10, , , , , , , , , 
2022-12-16 11:11:40.378 UTC, , , , , , , , , ,1469,4953925,1800008,6720, ,45, ,28, , , , , , , , ,4,45,22, , , ,27,33,20, ,14, , , , , , , , , , , , , , ,30437867,140, ,30411673, , , , ,30632435,27970084864,6,6,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,30632435,1671185378747,,, , , , , , , , , ,3145728,30632404, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,3,23,228401832,1, , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24,4, , , , , , , , , , 
2022-12-16 11:12:40.380 UTC, , , , , , , , , ,1469,4953925,1800008,6720, ,45, ,28, , , , , , , , ,4,45,22, , , ,27,33,20, ,14, , , , , , , , , , , , , , ,30437867,140, ,30411673, , , , ,30632435,27969998848,6,6,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,30632435,1671185378747,,, , , , , , , , , ,3145728,30632404, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,2,22,243206280, , , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24,4, , , , , , , , , , 
2022-12-16 11:13:40.396 UTC, , , , , , , , , ,1469,4953925,1800008,6720, ,45, ,28, , , , , , , , ,4,45,22, , , ,27,33,20, ,14, , , , , , , , , , , , , , ,30437867,140, ,30411673, , , , ,30632435,27969925120,6,6,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,30632435,1671185378747,,, , , , , , , , , ,3145728,30632404, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,2,22,259902152, , , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24,4, , , , , , , , , , 
